,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
"How should multiple Development Teams, working on the same product, manage their definition of ""Done""?",multiple-choice,Each Development Team creates a separate definition and must highlight the differences between each team.,The Product Owner and Scrum Master will create a definition for each Development Team in order to have a shared understanding.,It depends.,"All Development Teams must have a definition of ""Done"" that allows all of their completed work to be integrated into a single product.",,,4,,Artifact Transparency
"Which event is the most appropriate for discussing or updating the definition of ""Done""?",multiple-choice,During the Sprint Retrospective,During Sprint Planning,During the Daily Scrum,Between the end of the current Sprint and the beginning of the next.,,,1,,Scrum Events
The Sprint Goal and Sprint Backlog are outputs of Sprint Planning.,multiple-choice,TRUE,FALSE,,,,,1,,Scrum Events
Scrum requires which of the following roles?,multi-select,Development Team,Users,Customers,Product Owner,Scrum Master,,"1,4,5",,The Scrum Team
The Scrum Master serves the Development Team: (Choose 2 answers),multi-select,By removing impediments to the Development Team's progress.,By facilitating Scrum events as requested or needed.,By ending the meetings when time-boxes expire.,By managing the Product Backlog.,,,"1,2",,The Scrum Team
Why is the Daily Scrum held at the same time and place each day?,multiple-choice,The Scrum board location does not change.,The consistency reduces complexity.,The Product Owner requires daily reporting.,Prevents other teams from reserving the same location at the same time.,,,2,,Scrum Events
What is Management's responsibility to the Scrum Team?,multiple-choice,Give them the environment and support they need and trust them to get the job done.,Track individual performance in order to maintain a high performance team structure.,Decide how to divide the Development Team when it exceeds the Scrum limit.,Assign tasks to individual members when urgent requests are received.,,,1,,The Scrum Team
Why is it required that the Scrum Master facilitate the Daily Scrum?,multiple-choice,"To update the burn-down chart, track any scope change in requirements or estimations and update the Product Owner with the current Sprint status.",It is not mandatory that he attends the Daily Scrum. The Scrum Master serves the Development Team as requested or needed.,To make sure each team member knows what their daily task will be.,To send the daily status to management.,,,2,,The Scrum Team
Who manages the Sprint Backlog work during a Sprint?,multiple-choice,The Scrum Master,The Product Owner,The Project Manager,The Development Team,,,4,,Scrum Artifacts
It is best to have a consistent Sprint duration throughout the development effort. What factors may influence how long the Sprint length should be?,multiple-choice,Short enough to manage business risk and change.,Short enough to produce a potentially shippable product increment.,No more than four weeks.,All of these answers are correct.,,,4,,Scrum Events
Which statements are correct about the Sprint time-box? (Choose 2 answers),multi-select,The length of the Sprint can be extended if an increment has not yet been completed.,All Sprints are limited to a maximum of 1 month.,It is best to have consistent Sprint lengths throughout a development effort.,The Sprint length is dependent on the Sprint Backlog estimation. Larger estimations require longer time-boxes.,At least 20% of the Sprint length is dedicated to testing.,,"2,3",,Scrum Events
Who are the participants at the Daily Scrum?,multiple-choice,The Development Team.,The Scrum Master and Product Owner.,The Development Team and Scrum Master.,The Scrum team.,The Development Team and Product Owner.,,1,,Scrum Events
Does Scrum have Project Managers?,multiple-choice,Yes,No,,,,,2,,The Scrum Team
Scrum does not have Project Managers.,multiple-choice,TRUE,FALSE,,,,,1,,The Scrum Team
When are Sprint Backlog items pre-assigned to individual Development Team members?,multiple-choice,During the Sprint Planning 2 meeting.,"Never. The Development Team is a single self-organized unit and ""owns"" the entire Sprint Backlog as a whole. They will manage it themselves as the Sprint progresses.",The work will be proportionately divided between team members according to their skill level.,At the Daily Scrum.,,,2,,The Scrum Team
Who should know the most about the overall Product roadmap and milestones?,multiple-choice,The Product Owner,The Project Manager,The Development Team,The Scrum Master,,,1,,The Scrum Team
What would likely happen if an organization only applies new Scrum vocabulary to their current process?,multiple-choice,Nothing impactful will happen as only the vocabulary has been changed.,The organization will not see any benefits of Scrum.,Scrum maturity will take longer.,All answers apply.,,,4,,Scrum Theory
What is a time-box?,multiple-choice,The event must start at a specific time.,The event must have a minimum length.,The event must have a maximum duration.,The event must happen by a specific time or date.,,,3,,Scrum Events
When does the new Sprint start?,multiple-choice,After Sprint Planning.,Immediately after the conclusion of the previous Sprint.,After the Sprint Backlog and Sprint Goal has been defined.,After all the work in the Sprint Backlog has been completed.,,,2,,Scrum Events
Which statement is TRUE about the Daily Scrum?,multiple-choice,It is the optimal period for the Product Owner to assign tasks.,It is a maximum of 3 minutes per person for a 5 person team.,The time varies depending on team member availability.,It is time boxed to 15 minutes.,It is an opportunity to discuss and resolve impediments.,,4,,Scrum Events
Under what circumstances would a Sprint be cancelled?,multiple-choice,When the forecasted workload becomes unachievable.,When the Product Owner is absent too often.,When the Development Team is unclear on what to do on the remaining work.,When the Sprint Goal becomes obsolete,,,4,,Scrum Events
