,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area,,,,,,,,,,,,,,,
Which statement is correct when the developers are working in the middle of the Sprint?,multiple-choice,The Sprint Backlog would be frozen,No user acceptance tests will be conducted until the end of the Sprint,The scope may be clarified as more is learned,,,,3,"During the Sprint, the Product Backlog items in the Sprint Backlog would not be added or removed but as more is learned, the scope may be clarified and re-negotiated between the Product Owner and Development Team. This is mainly focused on the interpretation of the Product Backlog items and the tasks created by decomposing them.",The Scrum Team,,,,,,,,,,,,,,,
The Sprint Review is the only time when stakeholder feedback is captured.,multiple-choice,TRUE,FALSE,,,,,2,The Sprint Review is probably the most important opportunity for capturing feedback but adaptation is not limited to that. The Product Owner is constantly in contact with the stakeholders to identify new Product Backlog items or to refine them.,Scrum Events,,,,,,,,,,,,,,,
Who updates work remaining during the Sprint?,multiple-choice,The Development Team,The Scrum Team,The Scrum Master,The Product Owner,,,1,he Product Owner is responsible for measuring the progress of the project and tracking the remaining work in the Product Backlog. The Development Team is responsible for measuring the progress of the Sprint and tracking the remaining work in the Sprint Backlog.,Scrum Artifacts,,,,,,,,,,,,,,,
Conflict should be avoided at all cost on Agile teams.,multiple-choice,TRUE,FALSE,,,,,2,Managed conflicts can be helpful to the project.,Scrum Theory,,,,,,,,,,,,,,,
Which of the following is the most important opportunity for capturing lessons learned?,multiple-choice,Sprint Retrospective,Sprint Planning,Sprint Review,Daily Scrum,,,1,Lessons learned are always captured but the main purpose of Sprint Retrospective is capturing and planning for lessons learned.,Scrum Events,,,,,,,,,,,,,,,
"When multiple Scrum teams are working on the same product, should all of their outputs be integrated every Sprint?",multiple-choice,Yes,No,"Yes, only if there are dependencies among them",,,,1,All teams start and finish the Sprint within their defined timeboxes and their outputs would be combined and create an integrated Increment.,Scrum Artifacts,,,,,,,,,,,,,,,
Which of the following best describes transparency?,multiple-choice,The whole process should be visible to everyone.,"The process should be visible, and understood by key stakeholders.",The whole process should be visible to stakeholders.,Significant aspects of the process must be visible to those responsible for the outcome.,,,4,"Transparency is about visibility and doesn't contain understanding; even though we'd better try our best to create the right understanding too but that's another story. The ""whole process"" might  be too much for some stakeholders; ""significant aspects"" is enough, as we treat most things in Agile environments.",Artifact Transparency,,,,,,,,,,,,,,,
It's up to the Development Team to decide which Scrum events are needed during the Sprint.,multiple-choice,TRUE,FALSE,,,,,2,All Scrum events are necessary; they should never be removed.,Scrum Events,,,,,,,,,,,,,,,
The purpose of the Daily Scrum is for the developers to inform the Product Owner of the progress.,multiple-choice,TRUE,FALSE,,,,,2,The main purpose of Daily Scrum is synchronization of the developers.,Scrum Events,,,,,,,,,,,,,,,
The Product Owner doesn't spend enough time on the project. Which of the following options is the best response from the Scrum Master?,multiple-choice,Nominate a proxy Product Owner,Train the Product Owner why it's important for her/him to spend enough time on the project,Bring up the issue in the Sprint Retrospective,Send the Product Owner to a proper training,Inform the Product Owner's functional manager,,2,The Scrum Master is responsible to train and coach team members on a proactive way and convince them to do the right thing. All other options are either reactive or not self-organized.,The Scrum Team,,,,,,,,,,,,,,,
The Product Owner and Scrum Master should not be part of the Development Team.,multiple-choice,TRUE,FALSE,,,,,2,"It's OK for one person to have more than one of the three Scrum roles even though it's not recommended. eg Product Owner and developer. Note: when we say that a sentence like this is false, it means that the opposite is right. However, remember that the opposite of ""should not"" is ""may"" rather than ""should"".",The Scrum Team,,,,,,,,,,,,,,,
It's allowed to have team leaders when there are many developers working on a complex project.,multiple-choice,TRUE,FALSE,,,,,2,"No extra roles and titles are recognized in Scrum because it blocks self-organization, collaboration and accountability.",The Scrum Team,,,,,,,,,,,,,,,
