,Question Type (multiple-choice or multi-select),Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response,Explanation,Knowledge Area
It is forecasted that the project will be over in 4 Sprints. The Product Owner wants to design acceptance tests for all items. What's the best response from the Scrum Master?,multiple-choice,"It's a good idea, as long as the tests are not too detailed.","It's a good idea, as long as there's a similar set of acceptance tests for all items.","This is not necessary. The items should be discussed in more detail before development, rather than upfront.",,,,3,Scrum doesn't use upfront planning and design and what's described in this question is a form of upfront preparation.,Scrum Theory
"The Development Team is self-organized, and therefore, can decide to drop the Daily Scrums.",multiple-choice,TRUE,FALSE,,,,,2,The developers are self-organized and make decisions but only inside the borders set by Scrum. Scrum events should not be dropped.,Scrum Events
Which of the following is not improved by using timeboxed Sprints?,multiple-choice,Technical debt,Prioritization of all aspects of work,Establishing work-in-progress limit,Demonstrating incremental progress,,,1,"Technical debt is any shortcoming in the solution that makes it less than ""good enough"" and might create problems in the future. Refactoring is a common way of reducing technical debt. Timeboxing, however, doesn't help with technical debt. Timeboxing the Sprints forces everyone to focus on the most important parts of the work (prioritization). It also ensures there will be frequent increments which demonstrate progress. When working inside timeboxes, it's better to limit work-in-progress and get items done before going to the next ones; otherwise, chances would be high that the team ends up with many in-progress items and not enough ""Done"" items at the end of the Sprint.",Scrum Events
Time can be allocated between the two Sprints for integration.,multiple-choice,TRUE,FALSE,,,,,2,"Integration is part of the definition of ""Done"" and should happen as part of the development during the Sprint. Each new Sprint starts immediately after the previous one; there's no time between the two.",Scrum Events
What happens to the incomplete Product Backlog items when the Sprint is over?,multiple-choice,"They won't be re-estimated, and they would be moved back to the Product Backlog.","They won't be re-estimated, and would be moved to the next Sprint Backlog.",They would be re-estimated and moved back to the Product Backlog.,,,,3,"The items should be re-estimated because they have been partially done and the effort will have been changed as more has been learned. Whenever an item is not done during the Sprint (for cancellation or reaching the end of the timebox), it would be moved back to the Product Backlog, rather than the next Sprint Backlog. This is so, because the Product Owner might reorder them and they won't be on the top of the Product Backlog anymore.",Scrum Artifacts
"If there are 60 developers for a Scrum project, how should they be divided into teams?",multiple-choice,The Scrum Masters decide,The Product Owner decides,The senior management decides,The developers should decide,They don't have be divided,,4,"Each Scrum team can have a maximum of 9 members. When more developers are required, multiple teams can work on the same product and it will be called Scaled Scrum. The developers are self-organized and decide how to form the teams.",The Scrum Team
A company has four products. Which two of the following are acceptable ways of forming Scrum teams?,multi-select,There should be one Product Owner for each product,There can be a single Product Owner for all products,There should be a single Product Owner for all products,There can be one Product Owner for each product,,,"2,4","When there's one product, there should be only one Product Owner, even if the product is large and there are many Development Teams. However, when there are multiple products, there are two options: (a) consider them separate and have a Product Owner for each of them (b) have only one Product Owner for all of them and develop them like a larger project to ensure compatibility.",The Scrum Team
Which of the following are optional in Scrum? (choose 2 answers),multi-select,Increment,"Definition of ""Done""",Velocity,Burn-down charts,Sprint Backlog,,"3,4","Velocity calculations and the use of burn-down charts are common and recommended but not mandatory. The rest are the Scrum artifacts. All Scrum roles, events and artifacts are mandatory.",Scrum Artifacts
Which statement is correct about Product Backlog refinement?,multiple-choice,It shouldn't consume more than 20% of the capacity of the Scrum Team,It shouldn't consume more than 10% of the capacity of the Development Team,It shouldn't consume more than 20% of the capacity of the Development Team,It shouldn't consume more than 10% of the capacity of the Scrum Team,,,2,The 10% limit is only for the developers because their main responsibility is to develop the product and refinement shouldn't be a distraction for them. Refinement is one of the main responsibilities of the Product Owner and they usually spend a high percentage of their time on it.,Scrum Artifacts
"No one is allowed to participate in the Daily Scrum, but the developers.",multiple-choice,TRUE,FALSE,,,,,1,"Anyone can ""attend"" the Daily Scrum but only the Development Team members are allowed to ""participate"".",Scrum Events
